iter	Logloss
0	0.6112270609
1	0.5534985756
2	0.5117758991
3	0.4798805671
4	0.4559854369
5	0.4378110216
6	0.4228899732
7	0.411847872
8	0.4024378195
9	0.3949498932
10	0.3893463777
11	0.3846584406
12	0.3811415836
13	0.3779074121
14	0.3756011388
15	0.3738334504
16	0.3706456182
17	0.3692173272
18	0.3672547436
19	0.3666025362
20	0.365783094
21	0.3631063053
22	0.3624678089
23	0.362014153
24	0.3617672353
25	0.3606254451
26	0.3590013846
27	0.3586041227
28	0.3582297919
29	0.3579601419
30	0.3577238751
31	0.3575906199
32	0.357401845
33	0.3562354147
34	0.356145518
35	0.3558340593
36	0.3550058739
37	0.3545591331
38	0.3540192765
39	0.3539014412
40	0.3538236262
41	0.3536688705
42	0.3535591823
43	0.3535058484
44	0.3534477058
45	0.3532935859
46	0.3532071866
47	0.3528059108
48	0.3526966995
49	0.3526339467
50	0.3526016762
51	0.3524462051
52	0.3524212868
53	0.3523757026
54	0.3522490446
55	0.3519966426
56	0.3519716448
57	0.3517268733
58	0.3516454815
59	0.3516224708
60	0.3515614667
61	0.351543543
62	0.3515173132
63	0.3515020523
64	0.3513587423
65	0.3512461927
66	0.351215949
67	0.3511390878
68	0.3510655252
69	0.3510117144
70	0.3508817975
71	0.350853978
72	0.3506966391
73	0.3506071002
74	0.3504897418
75	0.3504734873
76	0.35045612
