iter	Passed	Remaining
0	12	939
1	22	845
2	35	868
3	46	854
4	61	880
5	73	864
6	87	871
7	100	866
8	113	857
9	125	843
10	139	834
11	150	816
12	160	790
13	169	760
14	180	744
15	190	726
16	200	706
17	210	691
18	220	673
19	230	656
20	241	644
21	251	627
22	260	610
23	269	595
24	278	579
25	288	565
26	297	550
27	306	537
28	314	521
29	324	507
30	334	496
31	345	485
32	355	474
33	364	461
34	373	448
35	383	437
36	394	426
37	403	414
38	413	403
39	423	392
40	434	381
41	444	370
42	455	360
43	464	348
44	471	335
45	479	323
46	487	311
47	495	299
48	503	287
49	510	275
50	518	264
51	525	252
52	533	241
53	541	230
54	549	219
55	558	209
56	566	198
57	574	188
58	583	177
59	590	167
60	598	157
61	606	146
62	614	136
63	622	126
64	630	116
65	638	106
66	646	96
67	654	86
68	662	76
69	670	67
70	678	57
71	686	47
72	694	38
73	702	28
74	710	18
75	718	9
76	726	0
